ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035f0fc	007fd628	3.0	Tz__CmParty__m_SaveMember	_ZN2Tz7CmParty12m_SaveMemberE	Tz::CmParty::m_SaveMember	YS::MEMBER *
0035f100	007fd668	7.0	Tz__Selector__m_Lay	_ZN2Tz8Selector5m_LayE	Tz::Selector::m_Lay	Tz::Layout *
0035f104	007fd66c	7.0	Tz__Selector__m_Seq	_ZN2Tz8Selector5m_SeqE	Tz::Selector::m_Seq	dk::SpriteMessage *
0035f10c	007fd674	8.0	Tz__Selector__m_SelPtr	_ZN2Tz8Selector8m_SelPtrE	Tz::Selector::m_SelPtr	Tz::Select *
0035f110	007fd678	4.0	Tz__Selector__m_Light	_ZN2Tz8Selector7m_LightE	Tz::Selector::m_Light	Tz::LightCur *
0035f114	007fd67c	4.0	Tz__Selector__m_SelList	_ZN2Tz8Selector9m_SelListE	Tz::Selector::m_SelList	short *
0035f118	007fd680	3.0	Tz__Selector__m_SelData	_ZN2Tz8Selector9m_SelDataE	Tz::Selector::m_SelData	const YS::SELECTOR *
0035f120	007fd688	4.0	Tz__Selector__m_InitCurPos	_ZN2Tz8Selector12m_InitCurPosE	Tz::Selector::m_InitCurPos	char
0035f124	007fd68c	4.0	Tz__Selector__m_Gra	_ZN2Tz8Selector5m_GraE	Tz::Selector::m_Gra	Tz::HelpGra *
0035f128	007fdf18	4.0	Tz__s_AutoConfirmSel	_ZN2Tz16s_AutoConfirmSelE	Tz::s_AutoConfirmSel	char
0035f129	007fdf19	2.0	Tz__s_ChgSelCharaNext	_ZN2Tz17s_ChgSelCharaNextE	Tz::s_ChgSelCharaNext	char
0035f12c	007fdf14	16.0	Tz__CmCustom__m_ListInfo	_ZN2Tz8CmCustom10m_ListInfoE	Tz::CmCustom::m_ListInfo	Tz::CmCustom::ListInfo *
0035f138	007fd5c8	1.0	Tz__Jiminy__m_InitWorld	_ZN2Tz6Jiminy11m_InitWorldE	Tz::Jiminy::m_InitWorld	int
0035f144	007fd5d0	2.0	Tz__Jiminy__m_ParentAnimMode	_ZN2Tz6Jiminy16m_ParentAnimModeE	Tz::Jiminy::m_ParentAnimMode	int
0035f1fc	007fd5e0	5.0	Tz__Jiminy__m_MenuInfo	_ZN2Tz6Jiminy10m_MenuInfoE	Tz::Jiminy::m_MenuInfo	Tz::Jiminy::MenuInfo *
0035f200	007fd5e4	81.0	Tz__Jiminy__m_MenuPtr	_ZN2Tz6Jiminy9m_MenuPtrE	Tz::Jiminy::m_MenuPtr	Tz::Select *
0035f204	007fd5ec	6.0	Tz__Jiminy__m_Parent	_ZN2Tz6Jiminy8m_ParentE	Tz::Jiminy::m_Parent	dk::Sprite *
0035f214	007fd5f8	23.0	Tz__Jiminy__m_SclBar	_ZN2Tz6Jiminy8m_SclBarE	Tz::Jiminy::m_SclBar	Tz::ScrollBar *
0035f21c	007fd600	5.0	Tz__Jiminy__m_SeqTbl	_ZN2Tz6Jiminy8m_SeqTblE	Tz::Jiminy::m_SeqTbl	Tz::Jiminy::SeqTbl *
0035f220	00b5af1c	2.0	Tz__Jiminy__m_HideCursor	_ZN2Tz6Jiminy12m_HideCursorE	Tz::Jiminy::m_HideCursor	BOOL_1
0035f221	00b5af1d	2.0	Tz__Jiminy__m_HideLightCursor	_ZN2Tz6Jiminy17m_HideLightCursorE	Tz::Jiminy::m_HideLightCursor	BOOL_1
0035f224	007fd604	5.0	Tz__Jiminy__m_Scissor	_ZN2Tz6Jiminy9m_ScissorE	Tz::Jiminy::m_Scissor	dk::Scis *
0035f230	007fdf0c	19.0	Tz__CmAbility__m_Info	_ZN2Tz9CmAbility6m_InfoE	Tz::CmAbility::m_Info	Tz::CmAbility::Info *
0035f234	007fdf10	7.0	Tz__CmConfig__m_Sel	_ZN2Tz8CmConfig5m_SelE	Tz::CmConfig::m_Sel	char *
0035f238	007fd5b0	3.0	Tz__CmGra__m_Gra	_ZN2Tz5CmGra5m_GraE	Tz::CmGra::m_Gra	Tz::HelpGra *
